NM_001100778	E2F1
NM_001134983	TGIF2
NM_001134983	TGIF2
NM_019316	MAFB
NM_019316	MAFB
NM_019316	MAFB
NM_019316	MAFB
NM_019316	MAFB
NM_019316	MAFB
NM_019316	MAFB
NM_019316	MAFB
NM_019316	MAFB
NM_019316	MAFB
NM_001106536	MYBL2
NM_001106536	MYBL2
NM_001106536	MYBL2
NM_001106536	MYBL2
NM_022180	HNF4A
NM_022180	HNF4A
NM_022180	HNF4A
NM_022180	HNF4A
NM_022180	HNF4A
NM_022180	HNF4A
NM_022180	HNF4A
NM_022180	HNF4A
NM_022180	HNF4A
NM_024125	CEBPB
NM_024125	CEBPB
NM_001301720	CEBPB
NM_001301720	CEBPB
NM_001301715	CEBPB
NM_001301715	CEBPB
NM_001012093	ZFP64
NM_001012093	ZFP64
NM_001012093	ZFP64
NM_001012093	ZFP64
NM_001012093	ZFP64
NM_001012093	ZFP64
NM_001106546	ZFP93
NM_001106546	ZFP93
NM_001106546	ZFP93
NM_201420	TFAP2C
NM_201420	TFAP2C
NM_201420	TFAP2C
NM_201420	TFAP2C
NM_001024316	GATA5
NM_001024316	GATA5
NM_001024316	GATA5
NM_001024316	GATA5
NM_001109211	BHLHE23
NM_031803	GMEB2
NM_031803	GMEB2
NM_031803	GMEB2
NM_031803	GMEB2
NM_001107808	ZBTB46
NM_001024781	SOX18
NM_001024781	SOX18
NM_001024781	SOX18
NM_001024781	SOX18
NM_001024781	SOX18
NM_001024781	SOX18
NM_001024781	SOX18
NM_001024781	SOX18
NM_001037353	ETV6
NM_001037353	ETV6
NM_001271267	SOX5
NM_001271267	SOX5
NM_001271267	SOX5
NM_001271267	SOX5
NM_001271267	SOX5
NM_001271267	SOX5
NM_001271104	FOXP2
NM_001100708	NRF1
NM_001100708	NRF1
NM_001012188	CREB3L2
NM_001012188	CREB3L2
NM_001107859	ZFP775
NM_001107859	ZFP775
NM_001107859	ZFP775
NM_001134621	CREB5
NM_001107865	TCF7L1
NM_001172125	TLX2
NM_001172125	TLX2
NM_001191089	MITF
NM_001191089	MITF
